student_id,topic,difficulty,timestamp,correct
1000,Ratio & Proportion,1,2025-03-21,0
1000,Ratio & Proportion,1,2025-03-24,0
1000,Statistics,3,2025-03-27,1
1000,Trigonometry,1,2025-03-28,0
1000,Number,3,2025-03-30,0
1000,Probability,3,2025-03-30,0
1000,Geometry,1,2025-03-31,0
1000,Inequalities,3,2025-04-03,1
1000,Graphs,2,2025-04-05,0
1000,Probability,2,2025-04-07,1
1000,Sequences,1,2025-04-07,0
1000,Number,1,2025-04-10,1
1000,Functions,1,2025-04-10,1
1000,Transformations,1,2025-04-10,1
1000,Number,3,2025-04-10,0
1000,Transformations,2,2025-04-10,0
1000,Algebra,1,2025-04-10,1
1000,Transformations,1,2025-04-10,0
1000,Ratio & Proportion,2,2025-04-13,1
1000,Inequalities,2,2025-04-14,1
1000,Algebra,2,2025-04-16,1
1000,Sequences,2,2025-04-18,0
1000,Geometry,3,2025-04-18,0
1000,Transformations,1,2025-04-18,1
1000,Ratio & Proportion,2,2025-04-18,0
1000,Statistics,1,2025-04-21,0
1000,Sequences,3,2025-04-21,0
1000,Ratio & Proportion,3,2025-04-24,1
1000,Number,3,2025-04-26,0
1000,Graphs,2,2025-04-26,1
1000,Transformations,3,2025-04-29,0
1000,Sequences,1,2025-05-02,1
1000,Functions,1,2025-05-02,0
1000,Sequences,3,2025-05-02,1
1000,Ratio & Proportion,3,2025-05-02,0
1000,Algebra,1,2025-05-04,1
1000,Statistics,1,2025-05-06,1
1000,Probability,2,2025-05-09,1
1000,Number,3,2025-05-11,0
1000,Equations,3,2025-05-13,0
1000,Transformations,2,2025-05-13,0
1000,Algebra,1,2025-05-14,1
1000,Transformations,2,2025-05-16,1
1000,Transformations,2,2025-05-17,1
1000,Probability,1,2025-05-17,1
1000,Vectors,3,2025-05-18,0
1000,Ratio & Proportion,1,2025-05-20,1
1000,Vectors,1,2025-05-23,1
1000,Functions,2,2025-05-26,0
1000,Sequences,2,2025-05-29,1
1000,Probability,2,2025-05-31,1
1000,Algebra,3,2025-05-31,0
1000,Sequences,1,2025-06-01,1
1000,Number,1,2025-06-01,1
1000,Equations,2,2025-06-01,0
1000,Vectors,2,2025-06-04,1
1000,Vectors,3,2025-06-05,0
1000,Inequalities,2,2025-06-07,1
1000,Transformations,1,2025-06-07,1
1000,Vectors,3,2025-06-07,0
1000,Sequences,2,2025-06-08,1
1000,Transformations,2,2025-06-11,1
1000,Number,3,2025-06-12,0
1000,Sequences,1,2025-06-12,0
1000,Inequalities,3,2025-06-14,0
1000,Transformations,3,2025-06-15,0
1000,Equations,2,2025-06-15,1
1000,Algebra,3,2025-06-16,1
1000,Vectors,1,2025-06-17,1
1000,Inequalities,2,2025-06-18,1
1000,Trigonometry,1,2025-06-18,0
1000,Graphs,3,2025-06-21,0
1000,Functions,1,2025-06-24,0
1000,Statistics,3,2025-06-25,0
1000,Vectors,1,2025-06-28,0
1000,Statistics,3,2025-06-28,1
1000,Transformations,3,2025-07-01,0
1000,Trigonometry,1,2025-07-02,1
1000,Transformations,2,2025-07-03,1
1000,Number,3,2025-07-04,0
1000,Vectors,1,2025-07-06,1
1000,Probability,2,2025-07-06,1
1000,Sequences,2,2025-07-09,0
1000,Number,3,2025-07-12,1
1001,Sequences,1,2025-03-19,1
1001,Ratio & Proportion,3,2025-03-19,0
1001,Geometry,1,2025-03-21,1
1001,Sequences,2,2025-03-22,1
1001,Probability,3,2025-03-25,1
1001,Algebra,2,2025-03-27,1
1001,Transformations,1,2025-03-30,0
1001,Geometry,2,2025-04-02,1
1001,Graphs,3,2025-04-05,0
1001,Transformations,2,2025-04-06,0
1001,Inequalities,1,2025-04-08,1
1001,Algebra,2,2025-04-09,1
1001,Equations,3,2025-04-11,1
1001,Equations,1,2025-04-12,1
1001,Equations,1,2025-04-13,1
1001,Ratio & Proportion,1,2025-04-14,1
1001,Geometry,2,2025-04-16,1
1001,Trigonometry,2,2025-04-19,0
1001,Inequalities,3,2025-04-19,0
1001,Sequences,3,2025-04-20,0
1001,Number,1,2025-04-23,0
1001,Equations,3,2025-04-25,0
1001,Graphs,3,2025-04-28,0
1001,Transformations,1,2025-05-01,1
1001,Number,1,2025-05-02,1
1001,Transformations,1,2025-05-05,1
1001,Geometry,1,2025-05-08,0
1001,Geometry,1,2025-05-09,0
1001,Graphs,1,2025-05-09,0
1001,Trigonometry,3,2025-05-10,0
1001,Algebra,1,2025-05-12,0
1001,Graphs,3,2025-05-15,0
1001,Number,1,2025-05-16,1
1001,Algebra,3,2025-05-17,1
1001,Functions,1,2025-05-18,1
1001,Probability,3,2025-05-18,1
1001,Probability,2,2025-05-20,0
1001,Trigonometry,1,2025-05-21,0
1001,Equations,2,2025-05-23,1
1001,Transformations,1,2025-05-25,0
1001,Number,1,2025-05-28,1
1001,Trigonometry,1,2025-05-28,1
1001,Statistics,2,2025-05-29,0
1001,Number,2,2025-06-01,0
1001,Functions,1,2025-06-02,0
1001,Inequalities,3,2025-06-03,0
1001,Trigonometry,2,2025-06-04,1
1001,Vectors,1,2025-06-05,0
